,문장
640,2찍들은 부끄러움을 몰라 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
641,그러면 윤석열=한동훈 F학점?ㅋㅋㅋㅋㅋㅋ
642,민심은 천심
643,문재앙 윤재앙 라이벌이노 뒤에서
644,평가할 정책도 없는데 ㅋㅋㅋㅋ
645,문재인에 비하면  윤석렬은 애교수준이지.
646,실제론70%넘을껄
647,윤석열 검찰총장은 귀신인가?ㅋㅋㅋㅋㅋㅋㅋㅋ
648,눈 가리고 아웅 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
649,내로남불 ㅋㅋㅋㅋㅋㅋ
650,2찍들 조용하네?ㅋㅋㅋㅋㅋㅋ
651,내로남불 아닌가?ㅋㅋㅋㅋ
652,느그 대표 300만원 ㅋ
653,님 천재
654,중공이 대만을 침공하면 똥돼지네도 남침전쟁을 벌릴판....곧 러중북 침략동맹의 세계3차대전 개시...
655,ㅋㅋㅋㅋㅋ  - dc App
656,조원진 잘생겼다 ㅋ
657,변박쥐ㅋㅋㅋㅋㅋㅋ
658,총선 전에 ~~~  확신한다 던데 ?
659,추천!
660,변가 까는사람들은 거의다 한때 변가놈 지지자였다는걸 변가는 직시하고 반성해야뭐하나 제대로 하지도 못하면서 그만좀 사람홀려라
661,윤항문을 반드시 총선에서 심판해야하는 이유
662,윤석열 정권 경제 정책이 잃어버린 5년을 만드나?
663,하여간 좌좀들이란~
664,그래서  한국은 진보좌빨 년넘들 반대로 하는게  진실이고 정의이다.
665,지능이 40 인  잘 사육된 가축만이 진보좌좀 년넘들 충실한 개짓을 하는 거지.
666,여윽시
667,전공을 살려서 '돼일성의 갓끈전술교시 반일선동사업'의 이론과 성과를 재일조총련 조선대학교서 가르치길...
668,"진짜 좌좀들 반일은 쑈였구나,   좌좀들  민주팔이, 시체팔이, 반일팔이,  자기들 이익 챙기기 위한 쑈질~.  미개한  가축들은 그것도 모르고 똥꾸멍 빨기 바쁘지. ㅋㅋ"
669,좌좀들 반일은 쑈질~  ㅋㅋ
670,의외네 ㅋㅋ
671,지금도 서민들도 그놈때문에 죽어나감
672,윤석열 잡아죽인다던 보수 틀딱들 항문빨이됨 ㅋㅋ
673,지금도 모텔서 손님이마약하면 모텔주인 영업정지때린다함 ㅋㅋㅋ 이제 투숙객 감시까지해야함 ㅋㅋㅋ
674,진보좌좀 병신들 반대로 하는게  진실이고 정의 입니다.   수십년 속았잖아요.
675,아주 좌좀들끼리 북치고 장구치고 추천눌르고 엠병하네
676,윤자빨여왜ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
677,윤땡땡 상태 심각하네 ㅋㅋ
678,옳으신말씀
679,윤두창이 뭣같은건 맞지만 민좆당한테 투표는 안한다 십재앙 강점기겪고도 민좆당 또 찍고싶으면 그건 간첩이다
680,이정도면 저작자 방송 보는 놈들이 병신임
681,신천지도 두손두발 든다는 변천지!
682,사이비종교의 희망고문과 비스무리한듯 20년에도 21년에도 22년에도 23년에도 똑같은 말 반복반복반복 변희재탈출은 지능순
683,변망구들은 뇌가없나봐
684,"좌좀넘들은  조작,거짓,괴담,선동질,데모질 아니면 아무것도 못함."
685,"대여는 이미 평균사이즈 옷을 미리 만들어 놓은거 빌리는건데  말이되?   맞춤옷이 타당하지, 맞춤옷은 또 상당히 비싸지."
686,전청조총련 왕진진보 진영....
687,변희재 다른방송 나가선 국힘 지지율 꼴아박는다 떠들고 지방송에선 민주당 지지율 꼴아박는다 떠듬저놈이야말로 이말했다 저말했다 진정한 생계형 유튜버그러면서 대는 핑계가 다른방송에선 제작진이 자제하라고 해서 그런다 ㅇㅈㄹ그럼 나가지 말아야지 ㅋㅋㅋ 돈맛보니 그건또 못하나벼?
688,맨날 태블릿 터진다터진다 거짓말만 내뱉는 입만 산놈 요번에 제대로 선넘었지
689,서면 조사만...한동훈과 윤석열 눈치 봤나 봄.  - dc App
690,이제 무상급식 하자 - dc App
691,양심도 없는 것들
692,주식의 미실현수익을 수익으로 잡는건  이재명지지자들밖에 없음  - dc App
693,이러니 특검을 해야지
694,안진걸 임세은은? ㅋㅋㅋ
695,이제야 조금씩 변희재에 대한 행동 패턴을 이해하고 알아가는 사람들이 있다는게 그나마 다행이네!
696,ㅋㅋㅋㅋㅋㅋㅋㅋ
697,한동훈이는 광주에 충성 한다 이기야 ㅋㅋㅋ
698,띠 전광판에 보이는 CYON 비키니폰 광고CYON 비키니폰은 2008년 5월 15일에 출시
699,"""부산 좌천"" 발언은 부산 비하 아닌가? 부산지검으로 발령을 냈을뿐인데 죄천이라니....."
700,ㅋㅋ  - dc App
701,부산을 유배지로 인식하는 한동훈이 그래도 좋다는 부산할매들
702,mbc 자막을 보고 들으면 그대로 들리는 앵커링효과 ㅋㅋㅋㅋㅋㅋ 개돼지 1찍들 또 낚임 ㅋㅋㅋㅋㅋ
703,판사들 귀청소 시급하다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
704,판사새끼 요번에 출마하노  - dc App
705,판사 수능국어 9등급 파장 - dc App
706,"""개딸 전체주의...""민주당을 비난하고, 깎아내리기위한 프레임일 뿐"
707,ㅋㅋㅋㅋㅋㅋㅋ.
708,이미지 좋은거 ㅈㄴ 부러워하네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ.
709,개딸 vs 대(머리)딸
710,연기연습 좀 더하지왜 그랬어.
711,정똥영이를 따라 평양에 가서 찍은 사진들을 보길....헤경궁 부선궁에 평양궁도 있을수 있는것.....남한예숙화 대남공작을 설계하고 뽀글이 돼정은한테 직보하는등 북한 정권핵심부 최고 정보와 공작을 다뤘다는 정찰총국 대좌출신 김국성씨가 미인계는 목줄잡고 꼬꿰는 공작의 기본이라는데 ....
712,이새기 캡쳐해서 민주당에 허위사실 선동한다고 민원 넣어야겠네
713,국민을 대놓고 조롱
714,일단 님목에 칼찍당하고 그게 쑈인지 아닌지 먼저 체험 좀
715,너같은애들이 젓가락 떠들면 떠들수록 이재명한테 좋을듯
716,이야 검찰공화국인데 나무젓가락으로 쑈를 했다? 안그래도 민심 나락인데 이걸 그냥 냅둔다고? 아직도 이러고 있으니 지지율이 올라갈리가 있나.
717,유튜브에서 퇴출시켜야됨 이미 많은 방송에서 퇴출당했지만
718,지 밥줄인 태블릿 책팔이 띄워주는 사람만 사람이고 그이외엔 모두 윤석열과 한패라는 놈한테 뭘 기대하냐
719,인면수심 변희재 퇴출 기원
720,변가놈 실체 파악한 사람들이 늘어나네ㅎ 많은 사람들이 변가 실체 깨달아야 한다
721,이제 얼마 안남았음 좌우 양쪽에서 버림받고 변뚱 말과는 달리 재판도 계속 지고있고 주제넘게 정유라공격했다가 최서원한테 눈밖에나서 태블릿 검증기회도 박탈당했고 아마 이걸로 책써서 또 팔아먹으려고 했을텐데 너무 오만했군 변뚱
722,남한테 사형시키겠다 협박하다 본인이 사형당하기 일보직전 ㄲㄲ
723,이렇게 변희재방송보다 상처입은 사람 또 발생...모두 구취 ㄱㄱㄱ
724,이재명 도우미였네 진짜 막을라면 저따구로 하지 않을건데 ㅋㅋ
725,민주당 구원자 한동훈
726,저 사람이 쓴 게 아니라 운영 커뮤니티에 타인이 쓴 글이다. 까도 똑바로 알고 까자. 우리가 여기서 글 싸질른다고 유식이 형이 욕 먹어야 하는 건 아니듯.
727,응 본인이 쓴게 아니죠
728,여성 혐오하게 생겼다 ㅋㅋ
729,한동훈 강성지지자 전체주의 1호 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
730,최악ㅜ
731,본인이 육성으로 말했나.윤 석열 감독 이 재명 주연 가덕도 피습쑈.
732,문재인때 기소도 못한 사건을 물고 늘어지냐? - dc App
733,ㅋㅋ 이용호가 민주당 도와주네
734,돼일성이가 남파한 간첩 성시백한테 홀려 북한을 들락날락함서 돼일성이가 남침할걸 알면서도 미군철수를 부르짖은 김구임
735,아주 자폭 자멸을 하네
736,118.235 저 두창견 가발견놈은 왜 자신이 탄 배가 침몰하고 있다는걸 깨닫지 못할까
737,한동훈 강성지지자 1호 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
738,"제일 어이없던게 '민주당은 김동연으로 단일화한다' 이거였음 ㅋㅋㅋㅋ 당시에 보면, 무슨 출판기념회에 가서 김동연이랑 인사나눈거 이딴게 근거임 ㅋㅋ"
739,문재인이 이재명 윤석열 둘다 구속시켜서 대선은 없고 내각제 개헌 들어간다 영구집권한다ㅋㅋㅋㅋㅋㅋㅋㅋ
740,썸네일수준봐라ㅋㅋㅋ 변가는 판타지 소설 쓰면 히트 하겠넼ㅋㅋ
741,송영길 대세론은 왜 빼냐 ㅋㅋㅋ
742,22년 10월되면  윤석렬 지지율 20% 아래로 폭락하고 국민손에 의해 끌어내려져 올거다  라고 큰 소리쳤슴 ㅋㅋ
743,여성혐오 노인 혐오 가지가지하네 ㅋㅋ
744,노인바하?ㅋㅋㅋㅋ
745,국힘 지지층 아님?
746,정의당 빨던 가발새끼 인맥이 오죽하노 그저 노인비하나 하고 시니컬하게 비판이나 처해대는 패션 좌좀
747,참 이런 새끼들이 ㅋ 우파랍시고 ㅋㅋㅋ
748,국짐 그냥 이참에 시원하게 폭망하고 말아먹어야지 ㅋㅋ 좌빨새끼들이 우파당에 다 처들와서 그냥 나라 처망길
749,윤석열 한동훈이 주군 문재인을 위해 보수를 아주 불태우네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ우파를 불태우고 있어
750,이거 진짜 문재인의 두수를 내다본 수였나 ㅋㅋㅋ 어떻게 윤석열 한동훈으로 국힘과 조중동을 개쳐망하게 만드네 ㅋㅋ
751,한동훈 강성지지자1호 전체주의ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
752,피똥 싸냐 ??
753,모두 비공개안보상 공개 불가.
754,개인휴대전화로 전원 요청하지 유선전화로 전원 요청하냐? ㅋㅋㅋㅋㅋ되도 않는 선동 찌라시룰 끄지버내서 여론을 호도하냐?ㅋㅋㅋㅋㅋㅋㅋ
755,"""목에 열상"" 가짜뉴스 유포한 국무총리실 산하 대테러상황실 책임자를 고발조치 하는데 모르냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ허위선동 조작하지 마라 ㅋㅋㅋㅋㅋ"
756,부산대병원장이 국힘 TF 위원인데 믿을수 잇냐?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
757,변희재 말대라 하다가 감옥간 송대표... 불쌍
758,이제는 변호인단 공격하겠네
759,송영길도 이제야 정신차린듯허이 변과 손잡아봤자 손해라는걸
760,애초에 옥중출마 하라는게 말이야 국수야… ㅋㅋㅋ
761,대  영  길
762,태블릿폭탄 조또 아닌가봐  - dc App
763,무슨 일본언론발 중국언론발 태블릿 폭탄 터진다 하지 않았냐 그거 어디간거냐
764,헐~  - dc App
765,거부권 행사를 위해 대통령이 된 인간 같음
766,윤석열 정부 믿고 샀다는 거 아닌가?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
767,스팸 메세지 믿고 주식 샀는데스팸 메세지 믿고 코인 샀는데스팸 메세지 믿고 부동산 샀는데...정부에서 사지 말라고 할때 - 사다리 걷어차기다...선동한 언론이 문제.PF폭탄이 남아 있어서 아직 진짜 폭락은 오지도 않았다
768,문재인이 영끌하지말고  참으라고햇는데  지들이 영끌해서 누구탓하는지  참았다 지금쯤사면 될것을
769,사건현장 훼손한 견찰도 수사 받아야 공정한 사회 아닌가?
770,서울로전원한뒤 치료 끝나고 의사가 아니 정청례가 과장 브리핑한거로 고발된거구만
771,읽어보니 그냥 범죄자 불량배네. 사회불평분자고... 유명인들은 항상 그런 놈들의 묻지마 폭행에 주의해야겠지?
772,기득권 사수에 득이 되면 신상 정보 공개사수에 독 되면 비공개 정치 경제 검찰 사법계 뿐이겠냐 언론도 비공개
773,니가 윤석렬 자지를 그렇게 잘빠냐???
774,근데 왜 재판을 더 연기시키는 생명기(生明氣)를 시술햇는가
775,본인 음성을 왜 보더 안해.
776,윤석열 지지자 발악 하누  ㅋㅋ
777,生明殺生明氣
778,주옥같다들
779,위기에 처한 돼명이의 정치목숨 살려준 '생명기(生明氣) 시술'
780,국민타령. 연기하느라 수고했다.
781,호남주사파의 소굴인 돼천지
782,신천지는 과거 이재명에 털린 경험이 있음코로나때 수칙 어긴 종교 활동
783,옵티머스 연루로 수사받던 이낙연 측근 자살 당한거 해명했나?
784,이낙연 제발 정신 좀 차리길
785,이상민 탄핵된다더니 9대 떡 기각 ㅋㅋㅋㅋㅋㅋㅋ
786,홍어 왓능가
787,갤 돌아 다니며 홍어똥칠하네.
788,총선에서 반드시 심판
789,고액선물 주는 새끼도 범죄자지.
790,ㅋㅋㅋ  - dc App
791,이승복: 나는 공산당이 싫어요ㅠ
792,현실적으로 안되는 걸자꾸 하자는게 망상병자지  - dc App
793,그러니깐 어서 빨리 뉴라이트나 박멸해.
794,니가하자는건 탈냉전시대에나 되는거고  - dc App
795,좌좀들은 일본 없으면  못사는 넘들
796,뉴라이트는 정신이 일본인 그 자체
797,ㅇㅇ
798,ㅇㅇ
799,ㅇ
800,하여간 절라도것들은 유전자가 이상해.
801,홍어종특.
802,전라도일상대화ㅋㅋ
803,경찰은 정말 수상하네
804,사건 현장을 저렇게 치워버리는게 말이 되나?
805,부산경찰총경 퇴직 정치경찰출신 영입3호 류삼영의 지시를 받던 부산의 경찰들
806,ㅋㅋㅋ  - dc App
807,팩트)) 음모론 가짜뉴스 잘가라 ㅋㅋ
808,그래도 윤두창 홍석현 한뚜껑 방상훈만은 못하지
809,뭔 개소리냐? 이 전라남도 미친개빨갱이 남자새끼야.
810,유일하게 탄핵 반대한 정치인이 조원진
811,거대한 배후가 있을 것 같은 생각이 든다
812,목숨을 잃을뻔한 테러피해자는 구급차 타고 헬기이송했다고 아우성치는것들이 살인미수범은 모범택시를 타고 유유히 살인하러 다니는데 찍소리들을 못하는 걸 보면....
813,신천지를 만나다 ㅋㅋㅋ
814,사건 축소하려고 언론과 시민단체의 이상한 프레임 선동을 하고 있는것으로 의심된다
815,너무 신속한 프레임 전환신속한 대통령실 반응신속한 경찰 현장 청소 등등이이미 다 알고 있었던 것처럼 진행되고 있다
816,특검해라
817,가지가지하네 윤두창
818,파헤칠수록 미스테리한 인간이네
819,미쳤다 진짜 이 나라가 김건희 윤석열 한동훈 방탄 공화국이구나
820,말빨좋은 쏘패인쓰
821,영상봤는데 참 안타깝다..변희재는 뭔가 편집증적인 성향이 있는건가 누가 자기를 공격하고있다고 생각하는건지
822,5년전 영상으로 물타기 왜 그러냐
823,정치적 의미를 부여한건 의사회 당신들 아닌가??
824,되도 않는 걸로 언플 하니 진짜 얘들이 범인인가 심증만 깊어진다. 숨기고 축소하고 왜곡하려는 것들이 범인 맞겠지.
825,똥돼지핼조선 특권층용 평양 봉화진료소마냥 서울대병원도 재한조총련 특권층 전용 병실이 있는 듯
826,■■■■■민주당 신고■■■■■■■■■■민주당 신고■■■■■■■■■■민주당 신고■■■■■■■■■■민주당 신고■■■■■■■■■■민주당 신고■■■■■■■■■■민주당 신고■■■■■■■■■■민주당 신고■■■■■■■■■■민주당 신고■■■■■■■■■■민주당 신고■■■■■■■■■■민주당 신고■■■■■■■■■■민주당 신고■■■■■■■■■■민주당 신고■■■■■■■■
827,지폭하네 항문견들
828,자폭
829,지들도 총선 패배각이 보이나보다
830,진중권 “김건희 특검? 이성윤 투입하고 소환도 못했으면서…수사 지휘했던 박범계·추미애한테 물어봐” ㅋㅋㅋㅋㅋ “정권에 충견 노릇한 사람인데 얼마나 잡아 넣고 싶었겠나”
831,이놈이나 변희재나
832,변희재가 이놈보다는 더 낫지.그래서 변희재는 안죽었던거야.
833,맞어 변희재말듣고 잘된사람없다
834,시발 ㅋㅋ팬클럽ㅋㅋㅋㅋㅋㅋ  - dc App
835,한동훈 강성지지자?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
836,전청조총련(재한조총련) 초대의장 돼중이....중공의힘 수석뿌락치부역자 남현똥훈
837,위장보수
838,아픈 사람 가지고 지랄들을 하네 참말로너 목에 칼 맞아봐라
839,윤석렬 자지 빨만하냐?
840,이러니 정신병자 소리 듣지계속 나대라 총선 아웃당하고 싶으면
841,우파들은 이상한게 그래요. 저런 문제 제기를 할 수 있죠. 그런데 왜 지들은 10년 넘는 타당성 조사와 1.5조 이상의 돈이 들어가는 양평고속도로 국책사업이 하루아침에 대통령 처가가 보유한 땅으로 꺽여버리는 문제 같은 것에는 침묵함? 이재명이 탄 헬기가 1.5조 짜리는 아니잖아.
842,ㅋㅋㅋㅋ  - dc App
843,진짜 어이가 없네
844,두창견들 할말있냐
845,■■■■■■■■ 천하대병신 윤석렬ㅋ■■■■■■■■■
846,■■■■■■■■ 천하대병신 윤석렬ㅋ■■■■■■■■■
847,양치기 소년
848,찢 대장동 9천억에서 좀 나눠줘라
849,하는짓보면 개한심 50억클럽 수사는잘되가고있나?
850,위대하니 좌우를 초월하게 되는거지ㅋ
851,2024년혁명의봄 부역자인 똥멍충이바보천치
852,"80년 대통령직선제등 대한민국자유민주주의봄은 돼중이와혁명의봄의 조선민주주의 무장폭동봉기 땜에 7년이나 미뤄졋다, 만약87년6월에도 돼중이와재한조총련이 무기고를 털고 군수공장을 털어 조선민주주의 무장봉기에 떨쳐나섰더라면 전두환도 '87년민주주의헌법'을 국민들한테 내놓을 수 없었을 것"
853,핵대중 대중이는 북괴에서 혁명열사급
854,그 유튜브채널 주인누구임? 오창석?
855,팔자에도 없는 대범한 양  가식은 잘 떠는게 바로 고소 고발 꺼내드네 켕기는게 있나? ㅋㅋㅋㅋ
856,숨을 쉬듯 뇌피셜 망상을 팩트처럼 씨부려 대는게 내로남불 적반하장의 화신 ㅋ
857,헬마 빤스런 엔딩
858,변희재 까는 놈들 하나같이 방구석에서는 주절주절 떠들어대면서 토론으로 붙자면 이 핑계 저 핑계 대고 버로우 타는 놈들 ㅋㅋ
859,사이코패스 같어 ㅋㅋ
860,문재앙은 대구갈때 기관총 들고갔음
861,둘다 근무 기간이 얼만데 저런 멍청한 소릴 ㅋㅋ
862,ㅋㅋㅋㅋㅋㅋ
863,ㅋㅋㅋㅋㅋㅋㅋ
864,평양돼톨릭 북화구현간첩단 두목신부놈이 돼마이뉴스에 나와서 남로달곰문한테 석열이 좀 콘트롤 하라고 한후 석열이가 꼬랑지를 내리고 돼명이한테도 대갈이룰 숙이는 장면이 연출됨
865,걍 문 전 대통령 사냥개!
866,남로당 충견들.
867,혁명의봄 배후에 핵심엿던 재한조총련 초대의장 돼중이....남한의 자유민주주의 반공정권을 민주화로 위장한 무장폭동반란으로 타도해 정권을 접수한후 극악빨갱이독재 조선노예주의인질공화국 똥돼지핼조선과 연방제북화민족평화통일을 할 판엿던 혁명의봄
868,대통령 선거를 치고 당선된 적이 없는데 전대통령이라는건 에바 아니냐
869,우리 인간백정 두환이는 죽어서도 싱글벙글이겠네
870,어설픈 프레임 전환 꼼수 들통 ㅋㅋㅋㅋ
871,응급아니래메?  응급이면 왜 헬기타는데? 부산대에서 치료받지 ㅂㅅ아  - dc App
872,열상 1cm 열상이 위급.
873,1센치 지혈된 상처가 응급 ㅋㅋㅋㅋㅋ
874,팩폭ㅋㅋ
875,물태우와 물동훈
876,검찰 특권 카르텔...전관비리...프레임 전환...눈가리고 아웅...
877,어차피 저놈은 대통령될일 없음
878,39.7= 223.38 = 118.235 = 223.62 = 121.175 = 180.68 =121.172 = 범소유상ㆍ개시허망구칠이는 우마오당 레전드급이지이 자들이 일부 갤은 전목사님 비난으로 도배 중이지.전목사님 비난자는 다 얘들 같은 애들임
879,캬 .. 멋짐..
880,의전서열 8위도 경호대상 아닌데 한동훈은 왜 400여명 경호?
881,ㅋㅋㅋㅋㅋㅋㅋㅋ
882,문재앙은 대구갈때 기관총들고갔음
883,재한조총련 뿌락치부역자기 땜
884,전라도홍어들 숫자가 바글바글하니 달래줘야지
885,좌파라서
886,헌법수록?? 또 속는 광주시민들은 없다
887,쟤들이 뭔 보수냐저런것들 추대하는 틀딱들이야말로 싹 패버려야할 개새끼들이지
888,윤석열은 반명좌파일쁀
889,좌파들이 다 주사파도 아니고 518씹는 좌파들 많아졌잖아. 이제 미화선동이 이니라 객관적사실로 518 따져볼때가 됐지. 후쿠시마선동폭망으로 선동의 시대도 종말을 고하는중. 윤 한이 객관적사실을 국민들에게 알리고 판단받자면 합리적인거고 강제로 국민들 입틀어막고 선동하면 주사파랑 동일한거고 난 그렇게 판단할 생각임
890,진성 빨갱이 니까.
891,그럼 송영길 보고 가만히 감옥에서 죽으란 말인가?ㅋㅋ
892,이새끼 변방송 골수시청자였나보네줫같은 멘트 다알고있놐ㅋ
893,9미리나 10미리나... 저능아들인가?
894,속목정맥 1센티 꿰맨거
895,깃대 나무로 1cm 정도 열상이맞는 것 같다.다가오기전부터 찡그리는 표정의 이 재명.연기 연습이 부족했어.너무 서툴러.
896,좌표찍고 쉰천지 자유총연맹 부대들 몰려들었구나폄하해봤자 니들한테 돌아간다 총선 앞두고 느그 사람이 이재명 죽이려고 했는데안 되니까 여론 돌리려 발악하는거 보소
897,2찍보수꼴통 이었네?
898,살인미수범이네
899,보수꼴통 자극해서 테러까지 일어나게 하는 정치초보 뽑은게 바보지
900,2찍은 악마새끼들이라니까
901,애쓴다 ㅋㅋ
902,좌좀이었네.
903,새누리에있다가 탈당후 작년에 만주당에 위장가입한거다 병신아
904,이재명 암살 목적으로 민주당 당원 가입한 것으로 추정할 수 있다
905,그렇게 문재인 빨갱이라고ㅠ암살범이 ㅋㅋ  - dc App
906,중국인 홍위병 알바생 수고여  - dc App
907,무시당해도싸지
908,똥돼지네 대남군사력은 재한조총련 재한북괴군(주한북괴군)이 핵심 주력
909,너 혹시 설마?  - dc App
910,북한 중국이 욕하는 이는 실로 올바른 이다
911,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
912,시발 정신병자 2찍이들반대편이면 살인도 서슴지 않는 사회악 중의 악
913,사람이 중환자실에 있는데 그러고싶냐?음모론 작작하고 빨리 비대위나 해. 중환자실은 전화도 출입도 맘대로 못한다니까. 중환자도 집중치료하고 당도 안정되는건 비대위로 가는것밖에 없어
914,사진놓고 빤따구 때리나 봐야지 ㅋㅋㅋ  - dc App
915,가지고 온다는게 뉴탐사 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
916,애쟎하넹
917,20년동안 민주당원이엇다는데?ㅋㅋㅋ
918,2찍 악마새끼들이 악마짓햇네
919,피습 기사에 칼 든 사진..
920,돼명이 목숨을 노린 테러가 아나라 위중한 돼명이 정치목숨을 살리기 위한 긴급 칼침시술
921,"주변인들 ""김씨가 보수 성향""https://n.news.naver.com/mnews/article/437/0000373427?sid=102"
922,민주당원이고  보수적성격이면  딱 전라도스타일   좌파면서 보수적이거든 서열따지는  - dc App
923,전라도홍어 긁혔노? 흥분하고 그러니
924,극우틀딱들 일 그르치는데 도가 틈
925,20년넘게 민주당지자였데  - dc App
926,"딱 보면 사이즈 나오잖아 ㅋㅋㅋ 당가입 천원, 내가 재미이햄이다! 푹 ㅋ"
927,충남 거주. 60대. 공인중개사. 완전보수 증언까지2찍 곱등이들 숭배하는 김상진이 안정권이가 이재명 지지자인척 위장하고 유세 현장에서 욕질에 선거방해한 것만 봐도 사이즈 나오지
928,돼명이 목숨을 노린 테러가 아나라 위중한 돼명이 정치목숨을 살리기 위한 긴급 칼침시술을 해줬으니 세기와더불어북화혁명당 지지자던지 조선노동당원인지도 의심해봐야는 거지
929,민주당원이래 ㅋㅋ   - dc App
930,극우보수라고 다 니옷는데 ㅋㅋㅋ 우김질하는거봐라 ㅋㅋ  - dc App
931,"송트남이 망치테러한 표삿갓은 늙은 영감이더라, 연방제북화통일을 주장하는 재한조총련 극좌통일열사"
932,전라도홍어는 80틀딱도 민주당원  - dc App
933,근대 요즘60대도 국힘 극혐하는 사람들 꽤 많긴하더라 이거랑 별개로
934,뉴라이트가 친일세력의 본진이다
935,국방장관ㅋㅋㅋ
936,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
937,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
938,ㅋㅋㅋ
939,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
940,왜 자꾸 현실부정하고 정신착란 증세 보이노.... ㅋㅋㅋㅋㅋ 경찰에 민주당 당원이라고 진술한거 기사까지 떴는데...ㅋㅋㅋㅋ
941,너도 국짐가서찔러라 응원할게
942,극우는 서민들 노리지 저런 거물은 안노림.. 송영길 피습 보면 뭐... 근데 송영길 보다 덜 다친거 같은데.
943,악마네
944,문재앙 아이냐
945,윤재앙 특기가 그거임 수치심 주기.
946,개딸이라 항문에 열광하나?
947,윤석렬 한동훈 맞음항문이 추해서 40년 때림  - dc App
948,검찰의.작품이지 ㅋㅋ  - dc App
949,변희재 옥은호 답없는 새끼들조영한 조원진 한심한 새끼들지랄하고 자빠졌네
950,조선족일보 중공일보 시택똥아일보 조선족갑제 리중공돌 김중공인 중공의힘 시택똥훈....
951,제대로 모르면 입 닥쳐라.일체 거론마라.합당? 뭔 합당?4월 10일 총선위해 연대한 것 뿐이다.
952,국민일보 폐간가자
953,법조인 = 법위의 족속들
954,이 때는 부산저축은행 이었는데
955,궁금하긴하네 얼마나줄지
956,최서원이 희재한테 넘기지 말고 정유라보고 받으라고 한건가?
957,얘는 어째 박근혜랑 지엄마 유죄 만들어 감빵에 집어넣은 윤석열 한가발한테는 찍소리도 못한다니?
958,괜히 판새 떡찰이 아니지
959,변대표는 징역가는거 두려워하는 사람이 아냐
960,비판 따위에 쫄 거면 벌써 그만뒀겠지    - dc App
961,자기 안불러줘서 삐진거 아닌가   - dc App
962,변희재는 일베인증한 순간에 끝난거임.
963,의도가 너무 뻔히 보여서
964,세기와더불어북화혁명당 수석반역자 돼명이 & 중공의힘 수석뿌락치 시택똥훈
965,또 전제부터 틀린 뇌피셜 태블릿 때문에 지 의식해서  선거 안나간다 요래 소설 쓰는거지 윤석열도 태블릿 때문에 정치 안 할거다 못한다 씨분게 요 삼백안 ㅋ 근데 완전 빠르게 대통령까지 됐음 ㅋㅋㅋ 그렇게 틀려놓고 뻔뻔하게 또 똑같은 뇌피셜 지껄임 천재는 ㄱㅃ 하는 것 보면 지 하던 거 계속 재활용 하고 있음 새로울게 없음
966,중국 공산당원들이 총선에 크게 관심 없는듯  - dc App
967,한동훈 연설은 대통령까지 생각하는 내용 같던데 졸렬한 삼백안은 지 심신의 안정을 위해 한을 태블릿에 떠는 쫄보로 프레임질 해야 하니 헛짚고 ㄱㅅ하는거지 ㅋㅋㅋ
968,프로그램 건드는 변창 다중이가 또 ㅋㅋㅋㅋ
969,알콜중독자 찬양하는 2찍들ㅋㅋ
970,김정숙이랑 같은 논리네? 역시 문재앙 충신 ㅋㅋ  - dc App
971,데이나 화이트닮았매  - dc App
972,지 바램을 논평이라 지껄이는 ㅅㄱㄲ  ㅋㅋㅋㅋ완주해봤자 3개월이야 비대위는
973,본인이 정신병지인줄 모르는 정신병자와거기에 속는 사이비종교 신도같은 저능아들
974,노무현 대중 빨았는데 못 떴을뿐 ㅋㅋㅋ
975,"박근혜 왈, 김한수는 '진중괜'이다"
